Operation,Time (ms),Events,Exchange Name,Model Name,Execution Time
ExportAndCreateBrep,1617,45,Demo20241217013014,Demo3.3dm,
CreateBRepElement:CreateBRepGeometry,1616,45,Demo20241217013014,Demo3.3dm,
CreateCustomParameter:CreateParameter,60,487,Demo20241217013014,Demo3.3dm,
GetSchemaAsync,8,974,Demo20241217013014,Demo3.3dm,
GetSchemaAsync:GetFromResource,7,974,Demo20241217013014,Demo3.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,7068,1,Demo20241217013014,Demo3.3dm,
SyncExchangeDataAsync,7067,1,Demo20241217013014,Demo3.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo20241217013014,Demo3.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,1986,1,Demo20241217013014,Demo3.3dm,
GUSDK:GeometriesToInternal,1984,1,Demo20241217013014,Demo3.3dm,
UploadGeometries,766,1,Demo20241217013014,Demo3.3dm,
UploadBinaryPacksAsGeometries,753,1,Demo20241217013014,Demo3.3dm,
UploadCustomGeometries,44657,0,Demo20241217013014,Demo3.3dm,
AssetToSyncResult,4,1,Demo20241217013014,Demo3.3dm,
GetSchemasAsync,0,1,Demo20241217013014,Demo3.3dm,
RelationshipToSyncRequest,0,1,Demo20241217013014,Demo3.3dm,
SchemaToSyncRequest,0,1,Demo20241217013014,Demo3.3dm,
PrepareBatchedSyncRequests,0,1,Demo20241217013014,Demo3.3dm,
TriggerBatchedSyncRequests,4,1,Demo20241217013014,Demo3.3dm,
TriggerProcessGeometry,0,1,Demo20241217013014,Demo3.3dm,
WaitForAllSyncCalls,367,1,Demo20241217013014,Demo3.3dm,
FinishFulfillment,238,1,Demo20241217013014,Demo3.3dm,
PollForFulfillment,3526,1,Demo20241217013014,Demo3.3dm,
SaveToCache,18,1,Demo20241217013014,Demo3.3dm,
UpdateExchangeAsync:GenerateViewableAsync,37984,1,Demo20241217013014,Demo3.3dm,
GenerateACCViewable,7983,1,Demo20241217013014,Demo3.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo20241217013113,Demo4.3dm,
CreateExchangeAsync,3222,1,Demo20241217013113,Demo4.3dm,
UpdateExchangeAsync,45887,2,Demo20241217013113,Demo4.3dm,
GetExchangeFromCache,0,1,Demo20241217013113,Demo4.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,267,1,Demo20241217013113,Demo4.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,263,5,Demo20241217013113,Demo4.3dm,
ExportAndCreateBrep,260,5,Demo20241217013113,Demo4.3dm,
CreateBRepElement:CreateBRepGeometry,260,5,Demo20241217013113,Demo4.3dm,
CreateCustomParameter:CreateParameter,1,5,Demo20241217013113,Demo4.3dm,
GetSchemaAsync,0,10,Demo20241217013113,Demo4.3dm,
GetSchemaAsync:GetFromResource,0,10,Demo20241217013113,Demo4.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,5993,1,Demo20241217013113,Demo4.3dm,
SyncExchangeDataAsync,5993,1,Demo20241217013113,Demo4.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo20241217013113,Demo4.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,1007,1,Demo20241217013113,Demo4.3dm,
GUSDK:GeometriesToInternal,1006,1,Demo20241217013113,Demo4.3dm,
UploadGeometries,1164,1,Demo20241217013113,Demo4.3dm,
UploadBinaryPacksAsGeometries,1156,1,Demo20241217013113,Demo4.3dm,
UploadCustomGeometries,42275,0,Demo20241217013113,Demo4.3dm,
AssetToSyncResult,0,1,Demo20241217013113,Demo4.3dm,
GetSchemasAsync,0,1,Demo20241217013113,Demo4.3dm,
RelationshipToSyncRequest,0,1,Demo20241217013113,Demo4.3dm,
SchemaToSyncRequest,0,1,Demo20241217013113,Demo4.3dm,
PrepareBatchedSyncRequests,0,1,Demo20241217013113,Demo4.3dm,
TriggerBatchedSyncRequests,0,1,Demo20241217013113,Demo4.3dm,
TriggerProcessGeometry,0,1,Demo20241217013113,Demo4.3dm,
WaitForAllSyncCalls,354,1,Demo20241217013113,Demo4.3dm,
FinishFulfillment,287,1,Demo20241217013113,Demo4.3dm,
PollForFulfillment,2989,1,Demo20241217013113,Demo4.3dm,
SaveToCache,6,1,Demo20241217013113,Demo4.3dm,
UpdateExchangeAsync:GenerateViewableAsync,33723,1,Demo20241217013113,Demo4.3dm,
GenerateACCViewable,3722,1,Demo20241217013113,Demo4.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo20241217013242,demo7.3dm,
CreateExchangeAsync,3240,1,Demo20241217013242,demo7.3dm,
UpdateExchangeAsync,140617,2,Demo20241217013242,demo7.3dm,
GetExchangeFromCache,0,1,Demo20241217013242,demo7.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,38735,1,Demo20241217013242,demo7.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,38706,276,Demo20241217013242,demo7.3dm,
ExportAndCreateBrep,38558,276,Demo20241217013242,demo7.3dm,
CreateMeshElement:CreateMeshGeometry,38555,276,Demo20241217013242,demo7.3dm,
CreateCustomParameter:CreateParameter,89,276,Demo20241217013242,demo7.3dm,
GetSchemaAsync,16,552,Demo20241217013242,demo7.3dm,
GetSchemaAsync:GetFromResource,13,552,Demo20241217013242,demo7.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,12555,1,Demo20241217013242,demo7.3dm,
SyncExchangeDataAsync,12555,1,Demo20241217013242,demo7.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo20241217013242,demo7.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,3279,1,Demo20241217013242,demo7.3dm,
GUSDK:GeometriesToInternal,3277,1,Demo20241217013242,demo7.3dm,
UploadGeometries,889,1,Demo20241217013242,demo7.3dm,
UploadBinaryPacksAsGeometries,785,1,Demo20241217013242,demo7.3dm,
UploadCustomGeometries,61130,0,Demo20241217013242,demo7.3dm,
AssetToSyncResult,21,1,Demo20241217013242,demo7.3dm,
GetSchemasAsync,0,1,Demo20241217013242,demo7.3dm,
RelationshipToSyncRequest,1,1,Demo20241217013242,demo7.3dm,
SchemaToSyncRequest,0,1,Demo20241217013242,demo7.3dm,
PrepareBatchedSyncRequests,0,1,Demo20241217013242,demo7.3dm,
TriggerBatchedSyncRequests,23,1,Demo20241217013242,demo7.3dm,
TriggerProcessGeometry,0,1,Demo20241217013242,demo7.3dm,
WaitForAllSyncCalls,512,1,Demo20241217013242,demo7.3dm,
FinishFulfillment,274,1,Demo20241217013242,demo7.3dm,
PollForFulfillment,7311,1,Demo20241217013242,demo7.3dm,
SaveToCache,43,1,Demo20241217013242,demo7.3dm,
UpdateExchangeAsync:GenerateViewableAsync,36682,1,Demo20241217013242,demo7.3dm,
GenerateACCViewable,6682,1,Demo20241217013242,demo7.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo20241217013523,Hull.3dm,
CreateExchangeAsync,2683,1,Demo20241217013523,Hull.3dm,
UpdateExchangeAsync,41998,2,Demo20241217013523,Hull.3dm,
GetExchangeFromCache,0,1,Demo20241217013523,Hull.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,113,1,Demo20241217013523,Hull.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,111,6,Demo20241217013523,Hull.3dm,
ExportAndCreateBrep,108,6,Demo20241217013523,Hull.3dm,
CreateBRepElement:CreateBRepGeometry,104,5,Demo20241217013523,Hull.3dm,
CreateCustomParameter:CreateParameter,1,6,Demo20241217013523,Hull.3dm,
GetSchemaAsync,0,12,Demo20241217013523,Hull.3dm,
GetSchemaAsync:GetFromResource,0,12,Demo20241217013523,Hull.3dm,
CreatePrimitiveElement:CreatePrimitiveGeometry,4,1,Demo20241217013523,Hull.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,4515,1,Demo20241217013523,Hull.3dm,
SyncExchangeDataAsync,4515,1,Demo20241217013523,Hull.3dm,
