Operation,Time (ms),Events,Exchange Name,Model Name,Execution Time
CreateCustomParameter:CreateParameter,89,276,Demo2024121701324226,Demo1.3dm,
GetSchemaAsync,16,552,Demo2024121701324226,Demo1.3dm,
GetSchemaAsync:GetFromResource,13,552,Demo2024121701324226,Demo1.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,12555,1,Demo2024121701324226,Demo1.3dm,
SyncExchangeDataAsync,12555,1,Demo2024121701324226,Demo1.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo2024121701324226,Demo1.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,3279,1,Demo2024121701324226,Demo1.3dm,
GUSDK:GeometriesToInternal,3277,1,Demo2024121701324226,Demo1.3dm,
UploadGeometries,889,1,Demo2024121701324226,Demo1.3dm,
UploadBinaryPacksAsGeometries,785,1,Demo2024121701324226,Demo1.3dm,
UploadCustomGeometries,61130,0,Demo2024121701324226,Demo1.3dm,
AssetToSyncResult,21,1,Demo2024121701324226,Demo1.3dm,
GetSchemasAsync,0,1,Demo2024121701324226,Demo1.3dm,
RelationshipToSyncRequest,1,1,Demo2024121701324226,Demo1.3dm,
SchemaToSyncRequest,0,1,Demo2024121701324226,Demo1.3dm,
PrepareBatchedSyncRequests,0,1,Demo2024121701324226,Demo1.3dm,
TriggerBatchedSyncRequests,23,1,Demo2024121701324226,Demo1.3dm,
TriggerProcessGeometry,0,1,Demo2024121701324226,Demo1.3dm,
WaitForAllSyncCalls,512,1,Demo2024121701324226,Demo1.3dm,
FinishFulfillment,274,1,Demo2024121701324226,Demo1.3dm,
PollForFulfillment,7311,1,Demo2024121701324226,Demo1.3dm,
SaveToCache,43,1,Demo2024121701324226,Demo1.3dm,
UpdateExchangeAsync:GenerateViewableAsync,36682,1,Demo2024121701324226,Demo1.3dm,
GenerateACCViewable,6682,1,Demo2024121701324226,Demo1.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo202412170135230,Sample2.3dm,
CreateExchangeAsync,2683,1,Demo202412170135230,Sample2.3dm,
UpdateExchangeAsync,41998,2,Demo202412170135230,Sample2.3dm,
GetExchangeFromCache,0,1,Demo202412170135230,Sample2.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,113,1,Demo202412170135230,Sample2.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,111,6,Demo202412170135230,Sample2.3dm,
ExportAndCreateBrep,108,6,Demo202412170135230,Sample2.3dm,
CreateBRepElement:CreateBRepGeometry,104,5,Demo202412170135230,Sample2.3dm,
CreateCustomParameter:CreateParameter,1,6,Demo202412170135230,Sample2.3dm,
GetSchemaAsync,0,12,Demo202412170135230,Sample2.3dm,
GetSchemaAsync:GetFromResource,0,12,Demo202412170135230,Sample2.3dm,
CreatePrimitiveElement:CreatePrimitiveGeometry,4,1,Demo202412170135230,Sample2.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,4515,1,Demo202412170135230,Sample2.3dm,
SyncExchangeDataAsync,4515,1,Demo202412170135230,Sample2.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo202412170135230,Sample2.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,845,1,Demo202412170135230,Sample2.3dm,
GUSDK:GeometriesToInternal,844,1,Demo202412170135230,Sample2.3dm,
UploadGeometries,604,1,Demo202412170135230,Sample2.3dm,
UploadBinaryPacksAsGeometries,602,1,Demo202412170135230,Sample2.3dm,
UploadCustomGeometries,39279,0,Demo202412170135230,Sample2.3dm,
AssetToSyncResult,0,1,Demo202412170135230,Sample2.3dm,
GetSchemasAsync,0,1,Demo202412170135230,Sample2.3dm,
RelationshipToSyncRequest,0,1,Demo202412170135230,Sample2.3dm,
SchemaToSyncRequest,0,1,Demo202412170135230,Sample2.3dm,
PrepareBatchedSyncRequests,0,1,Demo202412170135230,Sample2.3dm,
TriggerBatchedSyncRequests,0,1,Demo202412170135230,Sample2.3dm,
TriggerProcessGeometry,0,1,Demo202412170135230,Sample2.3dm,
WaitForAllSyncCalls,246,1,Demo202412170135230,Sample2.3dm,
FinishFulfillment,260,1,Demo202412170135230,Sample2.3dm,
PollForFulfillment,2391,1,Demo202412170135230,Sample2.3dm,
SaveToCache,6,1,Demo202412170135230,Sample2.3dm,
UpdateExchangeAsync:GenerateViewableAsync,33365,1,Demo202412170135230,Sample2.3dm,
GenerateACCViewable,3365,1,Demo202412170135230,Sample2.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo2024121701361789,Demo3.3dm,
CreateExchangeAsync,3534,1,Demo2024121701361789,Demo3.3dm,
UpdateExchangeAsync,42655,2,Demo2024121701361789,Demo3.3dm,
GetExchangeFromCache,0,1,Demo2024121701361789,Demo3.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,166,1,Demo2024121701361789,Demo3.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,165,1,Demo2024121701361789,Demo3.3dm,
ExportAndCreateBrep,164,1,Demo2024121701361789,Demo3.3dm,
CreateMeshElement:CreateMeshGeometry,164,1,Demo2024121701361789,Demo3.3dm,
CreateCustomParameter:CreateParameter,0,1,Demo2024121701361789,Demo3.3dm,
GetSchemaAsync,0,2,Demo2024121701361789,Demo3.3dm,
GetSchemaAsync:GetFromResource,0,2,Demo2024121701361789,Demo3.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,4225,1,Demo2024121701361789,Demo3.3dm,
SyncExchangeDataAsync,4225,1,Demo2024121701361789,Demo3.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo2024121701361789,Demo3.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,435,1,Demo2024121701361789,Demo3.3dm,
GUSDK:GeometriesToInternal,434,1,Demo2024121701361789,Demo3.3dm,
UploadGeometries,676,1,Demo2024121701361789,Demo3.3dm,
UploadBinaryPacksAsGeometries,675,1,Demo2024121701361789,Demo3.3dm,
UploadCustomGeometries,40114,0,Demo2024121701361789,Demo3.3dm,
AssetToSyncResult,0,1,Demo2024121701361789,Demo3.3dm,
GetSchemasAsync,0,1,Demo2024121701361789,Demo3.3dm,
RelationshipToSyncRequest,0,1,Demo2024121701361789,Demo3.3dm,
SchemaToSyncRequest,0,1,Demo2024121701361789,Demo3.3dm,
PrepareBatchedSyncRequests,0,1,Demo2024121701361789,Demo3.3dm,
TriggerBatchedSyncRequests,0,1,Demo2024121701361789,Demo3.3dm,
TriggerProcessGeometry,0,1,Demo2024121701361789,Demo3.3dm,
WaitForAllSyncCalls,275,1,Demo2024121701361789,Demo3.3dm,
FinishFulfillment,253,1,Demo2024121701361789,Demo3.3dm,
PollForFulfillment,2350,1,Demo2024121701361789,Demo3.3dm,
SaveToCache,4,1,Demo2024121701361789,Demo3.3dm,
UpdateExchangeAsync:GenerateViewableAsync,33305,1,Demo2024121701361789,Demo3.3dm,
GenerateACCViewable,3305,1,Demo2024121701361789,Demo3.3dm,
